Date,Open,High,Low,Close,Adj Close,Volume
01/01/2011,11577.42969,12020.51953,11573.87012,11891.92969,11891.92969,36817200
01/02/2011,11892.5,12391.29004,11892.5,12226.33984,12226.33984,32204800
01/03/2011,12226.49023,12383.45996,11555.48047,12319.73047,12319.73047,38518300
01/04/2011,12321.01953,12832.83008,12093.88965,12810.54004,12810.54004,33210900
01/05/2011,12810.16016,12876,12309.51953,12569.79004,12569.79004,35780200
01/06/2011,12569.41016,12569.49023,11862.53027,12414.33984,12414.33984,38764600
01/07/2011,12414.33984,12753.88965,12083.4502,12143.24023,12143.24023,30924800
01/08/2011,12144.21973,12282.41992,10604.07031,11613.53027,11613.53027,62032300
01/09/2011,11613.29981,11716.83984,10597.13965,10913.37988,10913.37988,43965200
01/10/2011,10912.09961,12284.30957,10404.49023,11955.00977,11955.00977,39077300
01/11/2011,11951.53027,12187.50977,11231.42969,12045.67969,12045.67969,32631100
01/12/2011,12046.20996,12328.46973,11735.19043,12217.55957,12217.55957,30714800
01/01/2012,12221.19043,12841.9502,12221.19043,12632.91016,12632.91016,29810800
01/02/2012,12632.75977,13055.75,12632.75977,12952.07031,12952.07031,27121700
01/03/2012,12952.29004,13289.08008,12734.86035,13212.04004,13212.04004,32033900
01/04/2012,13211.36035,13297.11035,12710.55957,13213.62988,13213.62988,25749000
01/05/2012,13214.16016,13338.66016,12311.55957,12393.4502,12393.4502,30500000
01/06/2012,12391.55957,12898.94043,12035.08984,12880.08984,12880.08984,29236700
01/07/2012,12879.70996,13128.63965,12492.25,13008.67969,13008.67969,25781100
01/08/2012,13007.46973,13330.75977,12778.90039,13090.83984,13090.83984,22672800
01/09/2012,13092.15039,13653.24023,12977.08984,13437.12988,13437.12988,27012700
01/10/2012,13437.66016,13661.87012,13017.37012,13096.45996,13096.45996,24726000
01/11/2012,13099.19043,13290.75,12471.49023,13025.58008,13025.58008,26839300
01/12/2012,13027.73047,13365.86035,12883.88965,13104.13965,13104.13965,26667500
01/01/2013,13104.29981,13969.99023,13104.29981,13860.58008,13860.58008,27866800
01/02/2013,13860.58008,14149.15039,13784.00977,14054.49023,14054.49023,24875800
01/03/2013,14054.49023,14585.09961,13937.59961,14578.54004,14578.54004,25463200
01/04/2013,14578.54004,14887.50977,14434.42969,14839.79981,14839.79981,29202300
01/05/2013,14839.79981,15542.40039,14687.04981,15115.57031,15115.57031,27715100
01/06/2013,15123.54981,15340.08984,14551.26953,14909.59961,14909.59961,29290400
01/07/2013,14911.59961,15634.32031,14858.92969,15499.54004,15499.54004,26231300
01/08/2013,15503.84961,15658.42969,14760.41016,14810.30957,14810.30957,23276600
01/09/2013,14801.54981,15709.58008,14777.48047,15129.66992,15129.66992,23715400
01/10/2013,15132.49023,15721,14719.42969,15545.75,15545.75,22066200
01/11/2013,15558.00977,16174.50977,15522.17969,16086.41016,16086.41016,18202600
01/12/2013,16087.12012,16588.25,15703.79004,16576.66016,16576.66016,20571600
01/01/2014,16572.16992,16573.07031,15617.54981,15698.84961,15698.84961,21770400
01/02/2014,15697.69043,16398.94922,15340.69043,16321.70996,16321.70996,20678200
01/03/2014,16321.70996,16505.69922,16046.99023,16457.66016,16457.66016,20959400
01/04/2014,16458.05078,16631.63086,16015.32031,16580.83984,16580.83984,19869600
01/05/2014,16580.25977,16735.50977,16341.29981,16717.16992,16717.16992,16431600
01/06/2014,16716.84961,16978.01953,16673.65039,16826.59961,16826.59961,17554800
01/07/2014,16828.5293,17151.56055,16563.30078,16563.30078,16563.30078,16908800
01/08/2014,16561.69922,17153.80078,16333.78027,17098.44922,17098.44922,14826000
01/09/2014,17097.41992,17350.64063,16934.42969,17042.90039,17042.90039,18705500
01/10/2014,17040.46094,17395.53906,15855.12012,17390.51953,17390.51953,29032400
01/11/2014,17390.90039,17894.83008,17278.35938,17828.24023,17828.24023,15164900
01/12/2014,17827.26953,18103.44922,17067.58984,17823.07031,17823.07031,22169000
01/01/2015,17823.07031,17951.7793,17136.30078,17164.94922,17164.94922,21732600
01/02/2015,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,17512500
01/03/2015,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,24704800
01/04/2015,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,21748800
01/05/2015,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,18324500
01/06/2015,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,22192400
01/07/2015,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,20342200
01/08/2015,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,27263400
01/09/2015,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,27240800
01/10/2015,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,26054700
01/11/2015,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,23346100
01/12/2015,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,25214400
01/01/2016,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,28440800
01/02/2016,16453.63086,16795.98047,15503.00977,16516.5,16516.5,24918100
01/03/2016,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,24077500
01/04/2016,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,20966500
01/05/2016,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,18790100
01/06/2016,17754.55078,18016,17063.08008,17929.99023,17929.99023,23500200
01/07/2016,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,18165200
01/08/2016,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,16957500
01/09/2016,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,21011200
01/10/2016,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,17936900
01/11/2016,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,21077700
